number,created_date,title,score,review,predict
2514,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,9,재미있어요,1
2515,2001-06-21 00:00:00,레디 플레이어 원,6,현실만이 유일한 진짜라는 말만 공감이 되고 내겐 넘 난해했던 영화,0
2516,2001-06-21 00:00:00,파이프라인,8,전형적인 보통 한국영화 였습니다. 킬링타임용.,0
2517,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,1,ㅋㅋㅋ 리뷰 솔직하게들 써라 ,0
2518,2001-06-21 00:00:00,심장이 뛰네,10,아까운 여배우 처녀작이 유작이되어 안타깝다,0
2519,2001-06-21 00:00:00,라이더스 오브 저스티스,10,매즈 아저씨 미쳤음..진짜..걍 다 패버림,0
2520,2001-06-21 00:00:00,스피닝 맨,5,무슨 내용인지를 모르겠음...,0
2521,2001-06-21 00:00:00,키싱 부스 2,10,그냥 말로 표현할 단어가 있을까요 그냥 진짜 너무 좋아요 평생 기억남을 영화,1
2522,2001-06-21 00:00:00,라이더스 오브 저스티스,10,매즈 미켈슨이 매즈 미켈슨 했다 ㅋㅋㅋㅋ액션 미쳤슴,1
2523,2001-06-21 00:00:00,타이타닉,10,다시 봐도 너무 가슴아프고 와닿네요..,1
2524,2001-06-21 00:00:00,퍼시 잭슨과 번개 도둑,6,"내가 원작을 먼저 봐서 그런지 영화가 너무 부족해보인다. 중간중간 빠진 부분들이 너무 많고, 원작을 보지 않았다면 이해가 가지 않을만해보이는 부분이 몇개 있었다. 원작 소설은 만점에 가깝다고 생각한다. 영화를 보고나서 원작을 보는거라면 평점을 높게 줄 수 있었으나, 이미 완성도가 굉장히 높은 원작소설을 읽고 난뒤에 이 영화를보면 조금 많이 실망스러울 수 밖에없다.소재는 좋지만 잘 못살린, 예산이 조금 더 있었다면 달랐을까라는 아쉬움이 남는정도의 영화영어가된다면 영어판 소설을 꼭 사서 보길 추천한다. 나는 개인적으로 해리포터가 참 잘만든 소설이고 영화라고 생각했는데, 퍼시잭슨시리즈를 소설로 보고오니까 해리포터는 애기들 읽는 소설같아보일 지경이다.",0
2525,2001-06-21 00:00:00,반도,2,왜 이정현 같은 비급배우가 나오지?! ,1
2526,2001-06-21 00:00:00,범털2 : 쩐의 전쟁,10,범털 넷플릭스에서 재밌게본 기억이있는데 후속편도 나와서 보게 되었습니다.저는 전작보다 재밌게 봤네요 단점이라면 개연성이 살짝 부족했는데 조연들이 잘 연출된것과 배우들의 캐릭터가 전작보다 좋아서 재밌게 봤습니다 ,1
2527,2001-06-21 00:00:00,원라인,10,내용도 연기도 훌륭하네요 재밌게 봤어요,1
2528,2001-06-21 00:00:00,파고,9,후반부로 갈수록 씁쓸한 맛이 느껴지는 영화. 훌륭한 블랙 코미디 영화. ,1
2529,2001-06-21 00:00:00,조커,8,호아킨의 연기에 감탄을 하면서 보게 된다. 특히 계단 씬이 압권!,1
2530,2001-06-21 00:00:00,토이 스토리 4,4,훌륭한 애니매이션이지만 우디의 팬들에게는 마음에 들지 않을 수 있다. 영화를 다 보고 나면 보니 욕을 할 수 밖에 없다. ,0
2531,2001-06-21 00:00:00,파이프라인,2,이게영화맞나?..,0
2532,2001-06-21 00:00:00,분노의 질주: 더 세븐,8,시리즈 통틀어서 7이 가장 베스트임,1
2533,2001-06-21 00:00:00,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,3,이거 볼빠엔 무한열차 보지;;,0
2534,2001-06-21 00:00:00,분노의 질주: 더 얼티메이트,10,졸라재미써 그리고 선착순으로 피켓 받았는데 개멋지더라 언제 또나오냐,1
